StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,Matthew,MAE,MSE,RMSE,10F-Score-mean,10F-Score-std
2607,0.6451612903225806,0.7660818713450293,0.7152542372881356,0.7056215808338049,0.716893838386745,0.6666666666666666,0.7485714285714286,0.7152542372881356,0.7076190476190476,0.7152542372881356,0.6557377049180327,0.7572254335260116,0.7152542372881356,0.7064815692220221,0.7159422896854778,120.0,175.0,0.7152542372881356,295.0,295.0,0.41323580088195455,1.6938736425454386,12.077879700785767,3.4753244022372596,-0.10052718077938663,0.17313215547108016
2634,0.6904761904761905,0.7395833333333334,0.7166666666666667,0.7150297619047619,0.7169394841269843,0.6987951807228916,0.7319587628865979,0.7166666666666667,0.7153769718047447,0.7166666666666667,0.6946107784431137,0.7357512953367875,0.7166666666666667,0.7151810368899506,0.7167809458802601,83.0,97.0,0.7166666666666667,180.0,180.0,0.4304065936620529,0.22281814149477658,0.08362612817943166,0.28918182546528,-0.1614397610713446,0.11939090108359851
3682,0.7586206896551724,0.6629213483146067,0.7170731707317073,0.7107710189848895,0.718006822842347,0.7457627118644068,0.6781609195402298,0.7170731707317073,0.7119618157023183,0.7170731707317073,0.752136752136752,0.6704545454545453,0.7170731707317073,0.7112956487956487,0.7174716205204008,118.0,87.0,0.7170731707317073,205.0,205.0,0.4227311575054056,0.07909971276958204,0.028061412574024145,0.1675154099598725,-0.06326147749798491,0.05826771902363504
1216,0.7021276595744681,0.7532467532467533,0.7288135593220338,0.7276872064106107,0.7295066995752174,0.7226277372262774,0.7341772151898734,0.7288135593220338,0.7284024762080754,0.7288135593220338,0.7122302158273383,0.7435897435897437,0.7288135593220338,0.727909979708541,0.7290261662899147,137.0,158.0,0.7288135593220338,295.0,295.0,0.45608912175180255,0.3071540309212066,0.17656082449129637,0.4201914141094465,-0.7729163663806359,1.3282014826095456
1434,0.8013698630136986,0.7414965986394558,0.7713310580204779,0.7714332308265772,0.7731701685302669,0.7548387096774194,0.7898550724637681,0.7713310580204779,0.7723468910705937,0.7713310580204779,0.7774086378737542,0.7649122807017543,0.7713310580204779,0.7711604592877543,0.7715229815947918,155.0,138.0,0.7713310580204779,293.0,293.0,0.5437793543299162,0.14695043360378612,0.04288016167259676,0.2070752560606814,-0.324698481887038,0.730712975805753
2379,0.40268456375838924,0.6438356164383562,0.5220338983050847,0.5232600900983727,0.5522799625395213,0.5357142857142857,0.5136612021857924,0.5220338983050847,0.524687743950039,0.5220338983050847,0.45977011494252873,0.5714285714285715,0.5220338983050847,0.5155993431855501,0.5290362082881078,112.0,183.0,0.5220338983050847,295.0,295.0,0.04792657503320945,87.16781724686294,10614.545031055843,103.02691411012873,-610.3999058648191,1802.370775560795
2455,0.6865671641791045,0.75,0.7206896551724138,0.7182835820895522,0.721345856922285,0.7022900763358778,0.7358490566037735,0.7206896551724138,0.7190695664698257,0.7206896551724138,0.6943396226415093,0.7428571428571428,0.7206896551724138,0.7185983827493261,0.7209406078631841,131.0,159.0,0.7206896551724138,290.0,290.0,0.43735244229723386,3.4859557436850217,38.70991160132805,6.221728988097123,-1.7605150897358435,1.693750316242606
2609,0.49230769230769234,0.8048780487804879,0.6666666666666666,0.6485928705440901,0.7028142589118199,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5663716814159293,0.7292817679558011,0.6666666666666666,0.6478267246858652,0.6760866376570674,96.0,198.0,0.6666666666666666,294.0,294.0,0.3147410263948125,53.651791003027924,5237.119887139872,72.3679479268265,-0.10423245817152997,0.12381155975159837
2637,0.5135135135135135,0.7577639751552795,0.6580882352941176,0.6356387443343965,0.6715579298699503,0.59375,0.6931818181818182,0.6580882352941176,0.6434659090909092,0.6580882352941176,0.5507246376811593,0.7240356083086054,0.6580882352941176,0.6373801229948823,0.662867030440095,96.0,176.0,0.6580882352941176,272.0,272.0,0.2789948799808598,20.49953622167436,708.2767617758966,26.61346955539425,-1.3596329190979737,3.6980670667687674
4904,0.6779661016949152,0.7085714285714285,0.6962457337883959,0.6932687651331719,0.6948878182614516,0.6106870229007634,0.7654320987654321,0.6962457337883959,0.6880595608330977,0.6962457337883959,0.642570281124498,0.7359050445103857,0.6962457337883959,0.6892376628174419,0.6941751673651594,131.0,162.0,0.6962457337883959,293.0,293.0,0.381292743669215,0.2470169558494136,0.10686326380572486,0.32689947048859663,-1.350816510071217,2.4208881013794814
