date,real_close,0
108/05/13,286.5,322.67587
108/05/14,289.0,319.24667
108/05/15,290.0,314.6681
108/05/16,288.0,310.84616
108/05/17,291.0,309.5516
108/05/20,290.0,315.29886
108/05/21,290.5,311.10208
108/05/22,287.5,311.57202
108/05/23,292.0,309.32263
108/05/24,287.0,316.87067
108/05/27,281.0,311.1159
108/05/28,280.5,310.3211
108/05/29,280.5,307.65887
108/05/30,296.5,302.73846
108/05/31,311.0,312.11383
108/06/03,314.0,326.07166
108/06/04,311.0,329.23697
108/06/05,313.0,328.91138
108/06/06,307.0,333.43286
108/06/10,316.0,330.17914
108/06/11,308.0,334.62262
108/06/12,309.5,335.47684
108/06/13,309.5,330.0766
108/06/14,307.0,333.04584
108/06/17,300.5,330.1438
108/06/18,308.5,330.73688
108/06/19,308.5,329.05505
108/06/20,310.0,332.10495
108/06/21,313.5,328.39053
108/06/24,315.5,335.08344
108/06/25,311.5,331.29
108/06/26,310.5,330.08218
108/06/27,313.0,330.34665
108/06/28,314.0,334.1411
108/07/01,314.0,334.0758
108/07/02,319.0,338.39465
108/07/03,317.5,338.6573
108/07/04,319.0,340.83563
108/07/05,321.0,336.357
108/07/08,314.0,340.47485
108/07/09,313.5,337.7995
108/07/10,318.0,334.42877
108/07/11,322.5,335.85126
108/07/12,318.0,340.72034
108/07/15,314.5,337.76135
108/07/16,314.0,338.85907
108/07/17,310.0,337.61746
108/07/18,302.0,337.72675
108/07/19,304.5,335.34558
108/07/22,308.5,329.7707
108/07/23,314.5,329.2845
108/07/24,308.0,330.94562
108/07/25,313.0,332.3037
108/07/26,313.5,329.9035
108/07/29,319.0,329.5361
108/07/30,325.5,336.88452
108/07/31,314.5,351.12012
108/08/01,314.0,350.40494
108/08/02,316.0,357.5465
108/08/05,312.0,342.19244
108/08/06,309.0,334.18433
108/08/07,318.0,333.35144
108/08/08,316.5,338.62286
108/08/12,323.0,333.82135
108/08/13,318.0,338.5927
108/08/14,319.5,335.86682
108/08/15,316.5,338.44464
108/08/16,322.0,339.83984
108/08/19,353.0,344.05457
108/08/20,351.0,380.67297
108/08/21,347.0,369.17865
108/08/22,345.0,369.29266
108/08/23,342.5,367.27692
108/08/26,343.0,365.7583
108/08/27,345.5,361.70026
108/08/28,366.0,368.63254
