date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
110/09/02,2.50,18.60,3.31,420645040,27496843467,65.00,67.00,64.00,64.00,-0.10,156279,0
110/09/03,2.29,20.35,3.62,638063034,43390185703,65.50,70.00,65.40,70.00,+6.00,228700,1
110/09/06,2.29,20.32,3.61,583661231,40902840347,69.10,72.00,68.30,69.90,-0.10,225730,0
110/09/07,2.35,19.83,3.52,330249196,22635837603,70.10,70.60,67.60,68.20,-1.70,132245,0
110/09/08,2.43,19.13,3.40,371885112,24660663857,67.10,67.90,65.10,65.80,-2.40,154978,0
110/09/09,2.37,19.62,3.49,280520696,18807104182,65.30,67.90,65.10,67.50,+1.70,108577,1
110/09/10,2.35,19.83,3.52,212753216,14505749534,67.40,69.00,67.20,68.20,+0.70,85294,1
110/09/13,2.40,19.42,3.45,164864791,11125814895,68.30,68.90,66.80,66.80,-1.40,72951,0
110/09/14,2.42,19.19,3.41,157499816,10448160310,67.00,67.30,65.60,66.00,-0.80,68454,0
110/09/15,2.44,19.07,3.39,105174181,6936180065,66.20,66.50,65.50,65.60,-0.40,44576,0
110/09/16,2.42,19.24,3.42,141524687,9420005650,66.20,67.50,65.80,66.20,+0.60,56182,1
110/09/17,2.44,19.07,3.39,169502998,11207197784,66.20,67.20,65.50,65.60,-0.60,58757,0
110/09/22,2.48,18.78,3.34,165678289,10634829995,63.20,65.00,63.10,64.60,-1.00,68983,0
110/09/23,2.45,18.95,3.37,118464856,7765469801,65.90,66.10,65.00,65.20,+0.60,42930,1
110/09/24,2.39,19.48,3.46,128088567,8522274594,66.00,67.10,65.80,67.00,+1.80,53751,1
110/09/27,2.41,19.27,3.43,93097296,6192264695,67.30,67.50,66.00,66.30,-0.70,37349,0
110/09/28,2.45,18.98,3.37,80807624,5295620159,65.80,66.00,65.30,65.30,-1.00,36771,0
110/09/29,2.54,18.31,3.26,218033670,13826107037,63.60,64.30,63.00,63.00,-2.30,102194,0
110/09/30,2.50,18.60,3.31,120964563,7693353787,63.30,64.40,62.50,64.00,+1.00,48846,1
110/10/01,2.56,18.20,3.24,143009127,8996341122,63.40,63.80,62.10,62.60,-1.40,66241,0
110/10/04,2.63,17.67,3.14,131588514,8093505303,63.10,63.30,60.60,60.80,-1.80,57284,0
110/10/05,2.62,17.76,3.16,190242195,11381192173,58.70,61.30,58.00,61.10,+0.30,74444,1
110/10/06,2.67,17.41,3.10,132290871,7981282638,61.50,61.70,59.50,59.90,-1.20,55150,0
110/10/07,2.56,18.17,3.23,151564410,9383245619,60.90,62.60,60.80,62.50,+2.60,54990,1
110/10/08,2.62,17.76,3.16,115288376,7118690623,62.60,62.60,61.00,61.10,-1.40,46914,0
110/10/12,2.74,17.01,3.02,163058961,9611190175,59.50,59.70,58.50,58.50,-2.60,69923,0
110/10/13,2.84,16.40,2.91,232296933,13263023931,58.30,58.90,56.40,56.40,-2.10,91344,0
110/10/14,2.82,16.48,2.93,118944029,6769333173,57.30,57.60,56.50,56.70,+0.30,44650,1
110/10/15,2.71,17.18,3.05,213190852,12642697260,58.20,60.20,58.00,59.10,+2.40,84322,1
110/10/18,2.74,16.98,3.02,119994514,7089070979,59.70,59.70,58.40,58.40,-0.70,38856,0
110/10/19,2.68,17.33,3.08,103901458,6168514645,59.10,59.90,58.40,59.60,+1.20,34318,1
110/10/20,2.73,17.06,3.03,150444442,8925517466,59.80,60.20,58.30,58.70,-0.90,52440,0
110/10/21,2.76,16.86,3.00,131728583,7673343261,58.10,59.10,57.40,58.00,-0.70,47880,0
110/10/22,2.74,16.95,3.01,104075473,6026342307,58.00,58.50,57.20,58.30,+0.30,37433,1
110/10/25,2.69,17.27,3.07,122369701,7162446789,58.00,59.40,57.30,59.40,+1.10,43202,1
110/10/26,2.68,17.38,3.09,179241315,10778199684,59.80,60.80,59.40,59.80,+0.40,57596,1
110/10/27,2.58,17.99,3.20,205673445,12524106645,60.00,61.90,59.60,61.90,+2.10,67910,1
110/10/28,2.68,14.55,2.88,274100496,16557483799,60.70,61.10,59.80,59.80,-2.10,100345,0
110/10/29,2.76,14.11,2.80,229397821,13400573579,59.50,59.50,58.00,58.00,-1.80,98833,0
110/11/01,2.78,14.01,2.78,134144926,7765013232,58.10,58.60,57.40,57.60,-0.40,56202,0
110/11/02,2.71,14.36,2.84,196610350,11673227967,58.20,60.20,58.10,59.00,+1.40,76873,1
110/11/03,2.70,14.40,2.85,93583437,5559516528,60.00,60.10,59.00,59.20,+0.20,33598,1
