,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2731,100513518,2782278523,27.75,28.1,27.3,27.330000000000002,29044,46.8266328,51.12893415,59.73353684,51.57928774314654,50.87795545392785,0.6605988769664977,-33.33333333333325,-56.86274509803917,1
2732,116839628,3262924112,27.65,28.25,27.45,27.485000000000003,29992,51.34354137,51.20046989,50.91432694,54.336230270870885,56.79370564027365,0.61505125887656,0.0,-42.55319148936167,1
2733,61044039,1704098278,27.75,28.2,27.6,27.575,18177,55.61267538,52.67120505,46.7882644,54.96305430559198,58.13808313794464,0.580617242638655,0.0,-38.2978723404256,1
2734,275458456,7884385249,28.5,29.15,28.1,27.605,77201,60.80393048,55.38211353,44.53847963,57.528284587022526,63.57785810157076,0.5600125270050625,0.0,-21.27659574468084,0
2735,204693515,6031662036,29.4,30.3,28.8,27.630000000000003,63884,63.70668536,58.1569708,47.05754169,61.99319498641085,71.81772783468323,0.5598453124512512,0.0,0.0,1
2736,381155469,11593188072,29.4,31.5,29.3,28.01,109554,75.80445691,64.03946617,40.5094847,72.41396366952168,85.06370195114405,0.6103090116734532,0.0,0.0,1
2737,278662923,8468972475,31.1,31.15,29.8,28.275,83794,77.26586435,68.44826556,50.81306799,64.12531377284,68.50474392288031,0.6717186418235627,-29.166666666666675,-20.792079207920803,1
2738,237283247,7467568941,31.4,32.5,30.9,28.714999999999996,74642,76.3783011,71.09161074,60.51823003,65.96202584373626,71.37090627578789,0.7424182796543535,-18.75000000000005,-11.881188118811908,1
2739,168862909,5264264743,30.8,31.9,30.4,29.24,51915,79.12399561,73.76907236,63.05922588,69.05977725336443,76.02533972123116,0.826305933809759,0.0,0.0,1
2740,194411545,6140773585,31.95,32.3,30.6,29.564999999999998,62357,74.20147562,73.91320678,73.33666911,61.37899693096863,61.12022211252124,0.8962243173324228,-80.0,-22.98850574712645,1
2741,123785266,3874946859,31.5,31.7,30.75,29.975,36935,75.6581266,74.49484672,72.16828696,64.6248743217583,66.95158630324829,0.963644930912392,-20.0,-6.410256410256412,1
2742,104328127,3199791366,30.5,30.95,30.4,30.25,32964,68.99935713,72.66301686,79.99033632,58.17142109935747,55.05988071200664,1.0094103746291303,-100.0,-30.2631578947368,1
2743,101485478,3127322034,31.3,31.6,29.85,30.455000000000002,32656,56.35993178,67.22865517,88.96610194,54.202153127577866,48.20962176675918,1.0273303772233546,-100.0,-51.47058823529414,1
2744,108787198,3217629550,30.15,30.55,29.05,30.584999999999997,34757,42.88729752,59.11486928,91.57001282,51.928541155585386,44.34739412375766,1.01893246130913,-100.0,-79.24528301886788,1
2745,137496622,3924086092,29.1,29.2,28.1,30.504999999999995,48239,29.72789531,49.31921129,88.50184325,44.0829010065058,32.3512398273712,0.9706184018391106,-100.0,-100.0,0
