data,volume,price,open,high,low,close,diff,times,result
104/12/25,7989881,650326356,81.50,81.80,81.10,81.60,0.00,4063,0
104/12/28,12508611,1017461666,81.50,81.80,81.00,81.00,-0.60,5826,0
104/12/29,18037137,1457934197,81.00,81.20,80.60,80.70,-0.30,6638,0
104/12/30,14245596,1152238876,81.10,81.20,80.60,80.90,+0.20,5427,1
104/12/31,13764229,1112123549,80.90,81.20,80.40,80.80,-0.10,4554,0
105/01/04,35223237,2804319760,81.20,81.20,78.60,79.00,-1.80,16770,0
105/01/05,30125219,2386189217,79.00,80.30,78.80,79.10,+0.10,14528,1
105/01/06,42557972,3325714092,78.30,79.10,77.30,79.00,-0.10,18197,0
105/01/07,40523284,3145237135,77.50,78.50,77.00,78.30,-0.70,19184,0
105/01/08,27621439,2150126885,77.20,78.30,77.20,78.00,-0.30,11120,0
105/01/11,52037798,3941548966,77.10,77.20,75.30,75.40,-2.60,21521,0
105/01/12,31183903,2366446781,76.00,76.50,75.40,76.30,+0.90,12094,1
105/01/13,22765911,1746518147,77.00,77.30,76.30,76.60,+0.30,10691,1
105/01/14,23289710,1754900905,75.30,76.00,74.60,76.00,-0.60,10649,0
105/01/15,39925385,3005386728,76.30,76.60,74.30,75.30,-0.70,17573,0
105/01/18,26696429,1986068436,73.30,75.30,73.10,74.90,-0.40,12714,0
105/01/19,21056220,1583829584,75.50,75.70,74.70,75.30,+0.40,9492,1
105/01/20,38245743,2815100260,74.90,74.90,73.10,73.10,-2.20,17447,0
105/01/21,31464728,2306793552,73.30,74.10,72.70,72.70,-0.40,12270,0
105/01/22,33147265,2452723986,73.50,74.80,73.40,74.80,+2.10,13520,1
105/01/25,27076870,2057032785,76.20,76.20,75.50,76.00,+1.20,11469,1
105/01/26,16786673,1265015391,75.30,75.80,75.00,75.50,-0.50,7579,0
105/01/27,18326129,1382569696,76.00,76.00,75.10,75.30,-0.20,7241,0
105/01/28,29878020,2235488669,73.70,75.40,73.70,75.10,-0.20,10717,0
105/01/29,47980886,3688681070,74.50,77.80,74.50,77.80,+2.70,17725,1
105/01/30,12962678,1016178365,78.10,78.70,78.10,78.20,+0.40,6619,1
105/02/01,30157185,2380536596,79.10,79.50,78.20,79.50,+1.30,12679,1
105/02/02,20296804,1602270378,79.80,79.90,78.40,78.40,-1.10,8980,0
105/02/03,37096455,2851281820,78.00,78.10,76.30,76.60,-1.80,14846,0
105/02/15,62766696,4687062431,73.90,75.50,73.80,74.70,-1.90,20856,0
105/02/16,31952108,2425632902,74.80,77.00,74.80,76.60,+1.90,12693,1
105/02/17,30568970,2337961277,77.00,77.00,75.60,76.70,+0.10,11897,1
105/02/18,37357500,2896594654,77.00,77.80,76.80,77.70,+1.00,11124,1
105/02/19,26453471,2031965637,77.70,77.70,76.20,76.70,-1.00,10326,0
105/02/22,19170876,1475401352,76.20,77.70,76.10,76.70,0.00,9178,0
105/02/23,12491217,960989945,76.60,77.20,76.60,77.00,+0.30,6326,1
105/02/24,21319849,1639110073,77.00,78.00,76.20,76.50,-0.50,10774,0
105/02/25,57174826,4484549498,76.50,80.00,76.30,78.50,+2.00,28586,1
105/02/26,40829071,3159358738,77.50,78.00,76.50,78.00,-0.50,16485,0
105/03/01,33626757,2601641695,76.80,77.90,76.80,77.70,-0.30,12871,0
105/03/02,37017482,2921496584,78.70,79.50,78.20,79.50,+1.80,15917,1
105/03/03,47911415,3840195571,80.50,80.50,79.50,80.50,+1.00,20145,1
105/03/04,64064567,5250696683,81.00,83.00,80.50,82.90,+2.40,27940,1
105/03/07,41415199,3415968111,83.10,83.80,81.50,81.60,-1.30,17870,0
105/03/08,35495757,2915963731,81.60,83.00,81.10,83.00,+1.40,15314,1
105/03/09,22545828,1861757709,82.70,83.30,82.20,82.80,-0.20,9325,0
105/03/10,22369892,1859499046,83.30,83.50,82.80,83.00,+0.20,9615,1
105/03/11,21411465,1775875095,83.00,83.20,82.30,83.20,+0.20,8430,1
105/03/14,25702309,2154167224,83.80,84.00,83.40,84.00,+0.80,11355,1
105/03/15,34133063,2830915164,84.00,84.20,82.00,82.30,-1.70,14432,0
105/03/16,26268551,2186537133,82.60,84.00,82.60,83.00,+0.70,10950,1
105/03/17,25510531,2127337546,83.90,84.10,82.50,82.50,-0.50,10505,0
105/03/18,61108150,5122968377,83.00,84.00,82.90,84.00,+1.50,15464,1
105/03/21,26058738,2195214172,84.40,84.60,83.50,84.50,+0.50,10890,1
105/03/22,23500975,1973276015,84.50,84.50,83.50,84.30,-0.20,7129,0
105/03/23,21765794,1829663476,84.00,84.50,83.60,84.20,-0.10,6753,0
105/03/24,22310548,1878607519,84.10,84.90,83.50,84.50,+0.30,8787,1
105/03/25,9545967,802554299,84.80,84.80,83.80,83.80,-0.70,4658,0
105/03/28,25892636,2193102455,84.70,85.00,84.30,84.50,+0.70,10311,1
105/03/29,25066364,2105335416,85.00,85.00,83.20,83.70,-0.80,10466,0
105/03/30,0,0,--,--,--,--,0.00,0,0
105/03/31,82367366,7027003188,86.10,86.80,84.00,84.80,X0.00,29575,0
105/04/01,32984173,2754116470,84.10,84.60,83.00,83.00,-1.80,13665,0
105/04/06,42845227,3499983755,83.20,83.20,81.20,81.20,-1.80,17634,0
105/04/07,27719716,2248151825,81.00,81.90,80.30,81.50,+0.30,11752,1
105/04/08,19158544,1560952644,81.10,81.90,80.90,81.90,+0.40,6839,1
105/04/11,11172615,908969169,81.80,81.90,80.70,81.20,-0.70,5228,0
105/04/12,15336442,1257932644,81.80,82.60,81.20,82.00,+0.80,8689,1
105/04/13,34118996,2844118702,82.30,83.80,82.30,83.70,+1.70,12866,1
105/04/14,23561652,1952127136,83.00,83.80,82.40,82.40,-1.30,9315,0
105/04/15,18495433,1528138072,82.20,83.20,81.70,82.90,+0.50,7862,1
105/04/18,14088317,1167142576,83.20,83.20,82.50,82.60,-0.30,6180,0
105/04/19,18744362,1537015121,82.80,83.30,81.20,81.50,-1.10,8284,0
105/04/20,51459224,4124103890,81.10,82.40,79.20,79.20,-2.30,24792,0
105/04/21,20871346,1671359076,79.80,80.50,79.50,80.30,+1.10,10099,1
105/04/22,17410609,1407072129,81.10,81.10,80.30,81.00,+0.70,7229,1
105/04/25,14003524,1128851414,81.10,81.40,80.20,80.30,-0.70,5789,0
105/04/26,18296084,1473987563,80.00,81.20,80.00,80.20,-0.10,6294,0
105/04/27,25054153,1996661601,79.90,80.20,79.30,79.50,-0.70,8560,0
105/04/28,30085745,2383149655,80.00,80.20,78.60,78.60,-0.90,11396,0
105/04/29,38516302,2976891928,77.10,77.70,77.10,77.10,-1.50,16551,0
105/05/03,31440331,2390836097,77.00,77.10,75.60,75.60,-1.50,15383,0
105/05/04,33607879,2536035474,75.60,76.40,74.90,75.70,+0.10,15249,1
105/05/05,24899964,1877594635,75.70,76.10,75.00,75.40,-0.30,10543,0
105/05/06,46281315,3427558390,75.40,75.50,73.60,73.80,-1.60,19248,0
105/05/09,38311047,2795465081,74.00,74.20,72.50,72.60,-1.20,17832,0
105/05/10,29746734,2199602350,72.60,74.80,72.50,74.80,+2.20,13395,1
105/05/11,27889767,2067590923,74.80,75.50,73.40,74.00,-0.80,11971,0
105/05/12,26316063,1930895356,73.90,74.10,73.00,73.30,-0.70,9697,0
105/05/13,63339780,4706304000,75.00,75.40,73.50,74.40,+1.10,27592,1
105/05/16,26475300,1959623182,74.10,74.40,73.50,74.00,-0.40,13009,0
105/05/17,29030680,2156356027,74.20,74.70,74.00,74.30,+0.30,11869,1
105/05/18,28906865,2142547277,74.30,74.50,73.50,74.40,+0.10,10524,1
105/05/19,25348906,1879143796,74.40,74.70,73.80,74.20,-0.20,9898,0
105/05/20,24261731,1802007602,74.30,74.80,74.00,74.00,-0.20,8448,0
105/05/23,52975328,4053551780,74.40,77.70,74.20,77.40,+3.40,21593,1
105/05/24,26754761,2053542542,77.30,77.40,76.40,76.40,-1.00,13366,0
105/05/25,46903474,3687122354,77.50,79.70,77.40,78.40,+2.00,20032,1
105/05/26,18307909,1433864127,78.50,79.00,78.00,78.10,-0.30,8594,0
105/05/27,20091932,1575252705,78.60,78.90,78.10,78.40,+0.30,8528,1
105/05/30,25266400,2003392511,79.00,79.90,78.50,79.50,+1.10,11798,1
105/05/31,66579085,5316736778,79.50,80.10,79.10,80.10,+0.60,11613,1
105/06/01,28491260,2294863500,79.60,81.00,79.60,80.60,+0.50,13259,1
105/06/02,29009876,2319181117,80.70,80.80,79.20,79.30,-1.30,11505,0
105/06/03,17414792,1391439460,79.50,80.20,79.50,80.00,+0.70,7527,1
105/06/04,5532986,443138306,79.90,80.30,79.70,80.20,+0.20,3447,1
105/06/06,21625003,1738847529,79.80,81.40,79.60,80.20,0.00,9765,0
105/06/07,31493323,2550209533,80.80,81.20,80.60,81.10,+0.90,11809,1
105/06/08,37351639,3045717487,81.50,82.00,81.10,81.30,+0.20,15060,1
105/06/13,48285489,3819961931,79.90,80.00,78.60,78.60,-2.70,20366,0
105/06/14,26410813,2095778325,78.00,79.90,78.00,79.90,+1.30,10761,1
105/06/15,21566955,1724184457,79.30,80.30,79.20,80.20,+0.30,8973,1
105/06/16,28763098,2274529587,79.50,79.60,78.60,78.80,-1.40,10720,0
105/06/17,33517439,2663154297,79.20,80.10,79.00,79.30,+0.50,10665,1
105/06/20,25729544,2069313707,80.40,80.80,80.10,80.50,+1.20,10938,1
105/06/21,24933754,2010220811,80.30,81.00,80.10,80.70,+0.20,9037,1
105/06/22,27195855,2207554868,80.70,81.50,80.70,81.50,+0.80,12309,1
105/06/23,49044179,4055603657,82.00,83.00,82.00,82.90,+1.40,22574,1
105/06/24,64170772,5223362936,83.20,83.20,80.60,81.50,-1.40,27147,0
105/06/27,20747307,1693251174,81.00,82.10,80.80,82.00,+0.50,9536,1
105/06/28,26680486,2182222829,81.20,82.50,80.80,82.50,+0.50,12311,1
105/06/29,20873510,1721836009,82.00,82.90,82.00,82.50,0.00,9097,0
105/06/30,27817765,2295824152,82.70,82.90,82.20,82.50,0.00,9310,0
105/07/01,25594003,2124301204,82.50,83.40,82.50,82.70,+0.20,10582,1
105/07/04,25249085,2103320923,83.30,83.50,83.00,83.30,+0.60,9239,1
105/07/05,17271233,1432788939,83.00,83.30,82.60,83.00,-0.30,8125,0
105/07/06,26713814,2184621848,82.50,82.50,81.50,81.50,-1.50,13324,0
105/07/07,16964851,1392004645,82.00,82.30,81.70,82.10,+0.60,7524,1
105/07/11,33141165,2739572933,82.20,83.00,82.20,82.50,+0.40,12213,1
105/07/12,32630740,2714824955,82.60,83.50,82.60,83.30,+0.80,12270,1
105/07/13,30235188,2522782201,83.90,83.90,83.00,83.50,+0.20,13025,1
105/07/14,19334919,1612947255,83.50,83.60,83.00,83.50,0.00,8638,0
105/07/15,34163621,2881651526,83.70,84.80,83.70,84.50,+1.00,16344,1
105/07/18,42513816,3635626835,85.40,86.00,85.00,86.00,+1.50,18173,1
105/07/19,34955345,3008122370,86.40,86.40,85.60,86.20,+0.20,13629,1
105/07/20,28845013,2479299242,85.80,86.30,85.60,86.00,-0.20,11126,0
105/07/21,51008107,4457788801,86.30,88.00,86.20,87.40,+1.40,20719,1
105/07/22,34959682,3062504326,87.70,87.90,87.20,87.60,+0.20,14271,1
105/07/25,34004543,2958132698,87.40,88.00,85.60,87.60,0.00,15649,0
105/07/26,28924264,2533326471,87.50,87.90,86.70,87.80,+0.20,11482,1
105/07/27,47025401,4182416861,88.40,89.50,88.30,89.00,+1.20,19313,1
105/07/28,28783791,2561266614,89.40,89.40,88.50,89.00,0.00,11689,0
105/07/29,29462507,2600290616,89.00,89.00,87.90,87.90,-1.10,13436,0
