date,dividend,PE,netWorth,season
100年04月27日,9.83,6.24,3.18,0
100年04月28日,9.64,6.36,3.12,0
100年04月29日,9.70,6.32,3.01,0
100年05月03日,16.04,5.93,3.21,0
100年05月04日,16.35,5.81,3.28,0
100年05月05日,16.52,5.76,3.31,0
100年05月06日,16.52,5.76,3.31,0
100年05月09日,17.12,5.56,3.43,0
100年05月10日,16.76,5.67,3.36,0
100年05月11日,16.64,5.71,3.33,0
100年05月12日,16.76,5.67,3.36,0
100年05月13日,16.76,5.67,3.36,0
100年05月16日,16.43,5.79,3.29,0
100年05月17日,15.91,5.98,3.19,0
100年05月18日,16.17,5.88,3.24,0
100年05月19日,15.69,6.06,3.14,0
100年05月20日,15.12,6.29,3.03,0
100年05月23日,14.74,6.45,2.95,0
100年05月24日,14.93,6.37,2.99,0
100年05月25日,14.74,6.45,2.95,0
100年05月26日,14.62,6.50,2.93,0
100年05月27日,14.72,6.46,2.95,0
100年05月30日,15.07,6.31,3.02,0
100年05月31日,15.22,6.25,3.05,0
100年06月01日,15.69,6.06,3.14,0
100年06月02日,15.24,6.24,3.05,0
100年06月03日,15.19,6.26,3.04,0
100年06月07日,14.91,6.38,2.99,0
100年06月08日,15.03,6.33,3.01,0
100年06月09日,14.86,6.40,2.98,0
100年06月10日,14.55,6.54,2.92,0
100年06月13日,14.36,6.62,2.88,0
100年06月14日,14.46,6.58,2.90,0
100年06月15日,14.46,6.58,2.90,0
100年06月16日,14.15,6.72,2.83,0
100年06月17日,14.34,6.63,2.87,0
100年06月20日,14.03,6.78,2.81,0
100年06月21日,14.84,6.41,2.97,0
100年06月22日,15.26,6.23,3.06,0
100年06月23日,15.12,6.29,3.03,0
100年06月24日,14.79,6.43,2.96,0
100年06月27日,14.79,6.43,2.96,0
100年06月28日,14.69,6.47,2.94,0
100年06月29日,15.07,6.31,3.02,0
100年06月30日,14.84,6.41,2.97,0
100年07月01日,14.91,6.38,2.99,0
100年07月04日,14.93,6.37,2.99,0
100年07月05日,14.69,6.47,2.94,0
100年07月06日,14.69,6.47,2.94,0
100年07月07日,14.48,6.57,2.90,0
100年07月08日,13.72,6.93,2.75,0
100年07月11日,13.08,7.27,2.62,0
100年07月12日,12.46,7.63,2.50,0
100年07月13日,11.75,8.10,2.35,0
100年07月14日,12.27,7.75,2.46,0
100年07月15日,12.51,7.60,2.51,0
100年07月18日,11.94,7.97,2.39,0
100年07月19日,12.34,7.71,2.47,0
100年07月20日,12.93,7.35,2.59,0
100年07月21日,12.89,7.38,2.58,0
100年07月22日,13.17,7.22,2.64,0
100年07月25日,12.86,7.39,2.58,0
100年07月26日,13.36,7.12,2.68,0
100年07月27日,13.17,7.22,2.64,0
100年07月28日,12.65,7.52,2.53,0
100年07月29日,12.29,7.74,2.46,0
100年08月01日,12.13,7.84,2.43,0
100年08月02日,12.29,7.74,2.46,0
100年08月03日,11.96,7.95,2.40,0
100年08月04日,11.29,8.42,2.26,0
100年08月05日,10.65,8.93,2.13,0
100年08月08日,10.98,8.66,2.20,0
100年08月09日,11.75,8.10,2.35,0
100年08月10日,12.17,7.81,2.44,0
100年08月11日,12.55,7.58,2.52,0
100年08月12日,12.22,7.78,2.45,0
100年08月15日,12.67,7.50,2.54,0
100年08月16日,12.48,7.62,2.50,0
100年08月17日,12.17,7.81,2.44,0
100年08月18日,12.08,7.87,2.42,0
100年08月19日,11.98,7.94,2.40,0
100年08月22日,12.79,7.43,2.56,0
100年08月23日,12.93,7.35,2.59,0
100年08月24日,13.31,7.14,2.67,0
100年08月25日,13.36,7.12,2.68,0
100年08月26日,13.91,6.84,2.79,0
100年08月29日,13.74,6.92,3.31,0
100年08月30日,18.30,6.90,3.33,0
100年08月31日,18.39,6.86,3.34,0
100年09月01日,18.30,6.90,3.33,0
100年09月02日,18.52,6.81,3.37,0
100年09月05日,17.98,7.02,3.27,0
100年09月06日,17.29,7.30,3.14,0
100年09月07日,17.82,7.08,3.24,0
100年09月08日,17.89,7.05,3.25,0
100年09月09日,17.82,7.08,3.24,0
100年09月13日,17.89,7.05,3.25,0
100年09月14日,17.63,7.16,3.21,0
100年09月15日,18.71,6.75,3.40,0
100年09月16日,19.62,6.43,3.57,0
100年09月19日,19.53,6.46,3.55,0
100年09月20日,20.60,6.13,3.75,0
100年09月21日,21.39,5.90,3.89,0
100年09月22日,21.96,5.75,3.99,0
100年09月23日,20.44,6.17,3.72,0
100年09月26日,19.31,6.54,3.51,0
100年09月27日,20.63,6.12,3.75,0
100年09月28日,21.01,6.01,3.82,0
100年09月29日,20.73,6.09,3.77,0
100年09月30日,21.29,5.93,3.87,0
100年10月03日,21.54,6.15,3.92,0
100年10月04日,21.67,6.12,3.94,0
