data,volume,price,open,high,low,close,diff,times,result
100/12/20,27001049,2115267922,77.90,78.90,77.80,78.00,+0.20,9977,1
100/12/21,53369515,4390025386,83.00,83.00,81.50,82.50,+4.50,22864,1
100/12/22,29071115,2382050910,82.50,82.50,81.10,82.00,-0.50,11754,0
100/12/23,42116052,3490164574,82.30,83.50,82.30,82.90,+0.90,19107,1
100/12/26,17918383,1485230039,83.00,83.20,82.50,82.50,-0.40,7433,0
100/12/27,13298950,1093134300,82.50,82.80,81.80,82.20,-0.30,5922,0
100/12/28,17687963,1463346081,82.90,83.10,82.30,82.50,+0.30,7765,1
100/12/29,20808776,1716207899,82.50,82.90,81.80,82.90,+0.40,6791,1
100/12/30,30154483,2496588908,83.00,83.40,82.20,82.90,0.00,9288,0
101/01/02,17064587,1398217105,82.50,82.50,81.40,81.40,-1.50,6321,0
101/01/03,22784948,1883901021,82.20,83.00,81.90,82.70,+1.30,8370,1
101/01/04,27306070,2275313195,83.00,83.90,82.80,83.20,+0.50,11135,1
101/01/05,18964011,1579061215,83.60,83.60,82.90,83.20,0.00,7073,0
101/01/06,42532516,3569918907,83.60,84.40,83.00,83.90,+0.70,16505,1
101/01/09,23958673,2012471212,84.10,84.30,83.40,84.30,+0.40,8924,1
101/01/10,75687431,6495227248,84.90,86.40,84.80,86.40,+2.10,29478,1
101/01/11,54291646,4724666799,87.00,88.00,86.20,86.20,-0.20,20598,0
101/01/12,39254043,3397122199,86.50,86.90,85.90,86.60,+0.40,17008,1
101/01/13,87049259,7488883600,86.80,87.00,84.80,85.20,-1.40,23862,0
101/01/16,40528913,3436930345,86.70,86.70,83.50,83.50,-1.70,16548,0
101/01/17,73986951,6369664496,84.80,87.00,84.10,87.00,+3.50,26324,1
101/01/18,73790710,6479960129,87.50,88.30,87.30,87.70,+0.70,25695,1
101/01/30,104798303,9783878234,93.00,93.80,91.50,93.80,+6.10,44476,1
101/01/31,104510867,9951846808,95.10,96.70,94.00,95.30,+1.50,33859,1
101/02/01,43267706,4112180864,95.50,95.50,94.30,95.20,-0.10,14804,0
101/02/02,47470003,4550743188,96.00,96.70,94.70,96.70,+1.50,20402,1
101/02/03,52540094,5100823390,96.60,97.70,96.10,97.60,+0.90,19714,1
101/02/04,25491156,2465830996,98.00,98.00,95.50,95.50,-2.10,11475,0
101/02/06,38055495,3589090030,95.50,95.50,93.50,94.00,-1.50,15519,0
101/02/07,51196840,4941318760,94.00,97.50,93.90,97.30,+3.30,20909,1
101/02/08,95432729,9596544751,98.30,102.50,98.30,101.50,+4.20,37818,1
101/02/09,76177605,7764152610,101.50,103.50,100.50,103.50,+2.00,28083,1
101/02/10,51891758,5260094536,102.50,103.00,99.90,102.00,-1.50,18922,0
101/02/13,43511470,4416396640,100.00,103.00,99.70,102.50,+0.50,15638,1
101/02/14,29786387,3003177275,102.00,102.00,100.00,101.00,-1.50,12203,0
101/02/15,43932892,4502281336,101.50,103.50,100.50,103.50,+2.50,17832,1
101/02/16,33903329,3464635749,103.00,103.50,101.00,102.00,-1.50,11484,0
101/02/17,47465392,4882289821,103.50,104.50,101.50,101.50,-0.50,13521,0
