data,volume,price,open,high,low,close,diff,times,result
103/02/20,28469515,3029358090,106.50,107.00,106.00,106.50,-1.50,6646,0
103/02/21,31505340,3381313380,107.00,107.50,107.00,107.50,+1.00,7819,1
103/02/24,32057819,3435891697,107.50,108.00,106.00,107.00,-0.50,6992,0
103/02/25,34350129,3685266810,107.50,108.00,106.50,108.00,+1.00,6570,1
103/02/26,34982996,3762870072,107.50,108.00,107.00,107.50,-0.50,5182,0
103/02/27,49352141,5323712132,107.50,108.00,107.50,108.00,+0.50,7531,1
103/03/03,62467129,6706761665,108.00,108.00,106.50,108.00,0.00,10046,0
103/03/04,48939593,5273707058,108.00,108.00,107.50,107.50,-0.50,9493,0
103/03/05,55447701,6074004809,108.50,110.00,108.50,110.00,+2.50,16511,1
103/03/06,72622868,8142187484,110.00,113.50,110.00,113.00,+3.00,18144,1
103/03/07,66916749,7649451186,114.00,115.00,113.50,114.50,+1.50,17219,1
103/03/10,38430338,4354521623,114.50,114.50,112.50,113.00,-1.50,9237,0
103/03/11,29182885,3324036739,113.50,114.50,113.50,114.00,+1.00,9133,1
103/03/12,18414771,2073574352,112.50,113.00,112.00,113.00,-1.00,5218,0
103/03/13,59080824,6890677534,116.50,117.50,115.50,116.50,+3.50,16969,1
103/03/14,47105032,5396134366,115.00,115.50,114.00,115.00,-1.50,12132,0
103/03/17,33910334,3854652365,114.50,115.00,113.00,114.00,-1.00,8995,0
103/03/18,37517456,4285097984,114.50,115.00,113.50,114.50,+0.50,7396,1
103/03/19,35237094,4023833316,114.50,115.00,113.50,114.50,0.00,6589,0
103/03/20,46512209,5232891154,113.00,113.50,112.00,112.00,-2.50,13078,0
103/03/21,60438012,6807696918,114.00,114.00,112.00,112.50,+0.50,7294,1
103/03/24,29607569,3320400583,111.50,112.50,111.50,112.50,0.00,7098,0
103/03/25,38070794,4291636589,111.50,113.50,111.50,113.50,+1.00,6933,1
103/03/26,45234160,5211750315,115.50,116.00,114.50,115.50,+2.00,12860,1
103/03/27,31399282,3609273026,114.50,116.00,114.00,116.00,+0.50,8641,1
103/03/28,43794489,5107684713,116.00,117.50,115.50,117.50,+1.50,12521,1
103/03/31,47146441,5550959038,118.00,118.50,116.50,118.50,+1.00,8839,1
103/04/01,40636462,4834224978,119.00,119.50,118.50,119.50,+1.00,12571,1
103/04/02,43684651,5238971816,120.50,121.00,119.00,120.00,+0.50,9400,1
103/04/03,37000420,4374998060,118.50,119.00,117.50,118.50,-1.50,10198,0
103/04/07,45254843,5305535631,117.50,118.00,116.50,117.50,-1.00,11316,0
103/04/08,43894168,5173993549,117.00,119.50,117.00,119.00,+1.50,9396,1
103/04/09,29648114,3548296766,119.50,120.00,119.00,119.00,0.00,8284,0
103/04/10,27215773,3243663187,119.00,119.50,118.50,119.50,+0.50,7229,1
103/04/11,34847792,4153152840,118.50,120.00,118.00,120.00,+0.50,7639,1
103/04/14,31053034,3738450410,120.00,121.00,120.00,120.50,+0.50,8739,1
103/04/15,29397114,3579955408,121.50,122.50,121.00,122.50,+2.00,9839,1
103/04/16,51075652,6208178396,121.50,122.50,121.00,121.00,-1.50,10989,0
103/04/17,36418501,4374322920,120.50,121.50,119.00,120.00,-1.00,9152,0
103/04/18,32921335,4023630870,122.50,123.00,121.00,123.00,+3.00,9515,1
103/04/21,24162522,2938646120,122.00,122.00,121.00,121.50,-1.50,5868,0
103/04/22,27034052,3282075077,121.00,122.50,120.50,121.50,0.00,5886,0
103/04/23,34358023,4181126643,123.00,123.00,120.50,121.00,-0.50,8145,0
103/04/24,25524592,3080805399,121.00,121.00,120.00,121.00,0.00,6289,0
103/04/25,49438252,5889185811,121.00,121.00,118.00,118.50,-2.50,11457,0
103/04/28,28068430,3344699670,118.50,120.00,117.50,119.00,+0.50,7030,1
103/04/29,21811790,2618945800,120.50,121.00,119.00,120.50,+1.50,4991,1
103/04/30,44124133,5237519729,120.00,120.50,117.00,118.50,-2.00,9169,0
103/05/02,45030119,5324516642,119.00,119.50,117.00,118.00,-0.50,9573,0
103/05/05,28887828,3374584476,117.50,118.00,116.00,117.00,-1.00,8961,0
103/05/06,27525257,3247099826,117.00,119.00,116.50,118.00,+1.00,5217,1
103/05/07,33276563,3931216686,118.00,119.00,117.50,118.50,+0.50,6945,1
103/05/08,30096125,3594265403,119.50,120.00,119.00,119.50,+1.00,5599,1
103/05/09,23287585,2785144700,120.00,120.00,119.00,120.00,+0.50,6405,1
103/05/12,37048901,4390300238,119.50,120.00,117.50,118.50,-1.50,6664,0
103/05/13,24046010,2894574200,120.00,121.00,119.50,120.50,+2.00,7767,1
103/05/14,32903344,3991162751,121.00,122.00,120.50,122.00,+1.50,9719,1
103/05/15,16813508,2040805195,121.00,122.00,120.50,122.00,0.00,5040,0
103/05/16,28679719,3497688718,122.00,123.00,121.00,122.00,0.00,7047,0
103/05/19,20829956,2524459168,122.00,122.50,121.00,121.00,-1.00,5325,0
103/05/20,25402168,3088614323,122.00,122.00,121.00,121.00,0.00,7109,0
103/05/21,24218702,2935442563,122.00,122.00,120.50,120.50,-0.50,6337,0
103/05/22,26336625,3198768892,121.50,122.00,121.00,122.00,+1.50,5227,1
103/05/23,31778175,3866486107,121.00,122.50,121.00,122.00,0.00,6260,0
103/05/26,19854258,2439783565,123.00,123.50,122.00,123.00,+1.00,7319,1
103/05/27,18301066,2259936878,122.50,124.00,122.50,123.50,+0.50,6092,1
103/05/28,37799997,4658742565,124.00,124.00,122.50,124.00,+0.50,8443,1
103/05/29,43079080,5267063156,123.50,124.00,121.50,122.00,-2.00,9131,0
103/05/30,69113681,8318164317,122.00,122.50,119.50,119.50,-2.50,10342,0
103/06/03,40522053,4915125996,120.00,122.50,120.00,122.50,+3.00,10640,1
103/06/04,33486050,4136552150,123.50,124.00,123.00,123.50,+1.00,8162,1
103/06/05,19558349,2397329714,123.00,123.50,121.50,123.00,-0.50,4842,0
103/06/06,19282324,2364596528,123.50,123.50,122.00,122.50,-0.50,4910,0
103/06/09,19730824,2424539886,122.50,123.50,122.50,123.00,+0.50,5157,1
103/06/10,26661384,3298134327,123.00,124.50,122.50,124.50,+1.50,6557,1
103/06/11,27990426,3479529424,124.00,125.00,123.50,125.00,+0.50,6589,1
103/06/12,22300962,2755883265,124.00,124.00,123.00,123.50,-1.50,5812,0
103/06/13,17197521,2117623583,123.00,123.50,122.50,123.00,-0.50,4424,0
103/06/16,13737288,1691353424,122.50,124.00,122.50,124.00,+1.00,5010,1
103/06/17,20568681,2557854737,124.00,125.00,123.00,125.00,+1.00,6971,1
103/06/18,38103408,4778941290,125.00,126.50,124.00,125.50,+0.50,8642,1
103/06/19,25211563,3163386515,124.50,126.00,124.50,126.00,+0.50,5043,1
103/06/20,31589978,3951298152,126.50,127.00,124.00,124.50,-1.50,5267,0
103/06/23,25147462,3108562826,125.00,125.50,123.00,123.00,-1.50,6320,0
103/06/24,36234466,4451530440,123.00,123.50,122.00,123.00,0.00,8507,0
103/06/25,31028964,3835858072,123.00,124.50,123.00,123.50,+0.50,7395,1
103/06/26,33938460,4216435800,124.50,125.00,123.50,124.50,+1.00,5578,1
103/06/27,44450355,5576193375,125.00,126.50,124.00,125.50,+1.00,9021,1
103/06/30,38191504,4827284804,126.00,127.00,125.00,126.50,+1.00,7469,1
103/07/01,33022537,4220113199,126.50,128.50,126.00,128.00,+1.50,7806,1
103/07/02,51623745,6784671858,129.50,132.50,129.00,132.50,+4.50,13133,1
103/07/03,41188579,5481357096,131.50,135.00,130.50,134.50,+2.00,12822,1
103/07/04,44516194,5982542686,133.50,136.00,132.00,135.00,+0.50,13513,1
103/07/07,32207808,4359167895,134.50,136.00,132.50,136.00,+1.00,10456,1
103/07/08,36299510,4898844484,135.50,136.00,134.00,134.50,-1.50,7852,0
103/07/09,39336800,5286821200,133.50,135.00,133.50,134.00,-0.50,10775,0
103/07/10,51132233,6904690475,134.50,136.00,134.50,134.50,+0.50,9008,1
103/07/11,43513681,5946107116,136.00,138.00,135.50,136.50,+2.00,11824,1
103/07/14,46818367,6256723781,134.50,134.50,132.50,132.50,X0.00,14589,0
103/07/15,37976398,5061898434,133.00,134.00,132.50,133.00,+0.50,8483,1
103/07/16,42072768,5539818008,133.00,133.50,130.00,130.50,-2.50,10001,0
103/07/17,138665459,17243062335,125.00,125.50,123.00,124.50,-6.00,34866,0
103/07/18,97366229,11985660029,121.50,124.00,121.50,123.50,-1.00,21786,0
103/07/21,58994337,7298292910,124.00,124.50,122.50,123.50,0.00,15070,0
103/07/22,53307488,6611629704,123.50,125.00,122.50,124.50,+1.00,12061,1
103/07/24,66041379,8233198975,124.50,125.00,124.00,125.00,+0.50,12534,1
103/07/25,31609284,3901955314,124.50,125.00,122.50,123.00,-2.00,11359,0
103/07/28,43514580,5296514760,122.00,122.50,121.00,121.50,-1.50,13121,0
103/07/29,40749556,5009947804,122.50,124.00,122.00,124.00,+2.50,11381,1
103/07/30,32428969,4031742597,123.50,125.00,123.00,124.50,+0.50,7029,1
103/07/31,44806071,5461570662,124.00,124.00,121.00,121.00,-3.50,13163,0
103/08/01,61873796,7431852976,120.00,121.00,119.50,120.00,-1.00,13006,0
103/08/04,39730078,4849122094,120.00,123.50,120.00,123.50,+3.50,8471,1
103/08/05,61536941,7427621354,122.50,122.50,119.50,119.50,-4.00,15190,0
103/08/06,38043400,4574500402,119.00,121.50,119.00,120.50,+1.00,9762,1
103/08/07,30079734,3630553139,120.50,121.50,119.50,121.50,+1.00,8143,1
103/08/08,35170150,4226147039,120.50,121.00,119.50,120.50,-1.00,7307,0
103/08/11,42993969,5176984237,120.00,121.00,119.50,120.50,0.00,10623,0
103/08/12,32278863,3916887825,121.00,122.00,120.50,121.50,+1.00,7524,1
