X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
61,1999/4/8,2650000,171492700,65.4,66,63.5,63.9,-1.3,1180,1,60.8,66.5,54.38596491,69.15558639,71.74900508,76.93584245
62,1999/4/9,684832,43761497,63.9,64.6,63,64,0.1,378,0,60.8,66.5,56.14035088,64.81717455,69.4383949,78.6808356
63,1999/4/12,1218793,78653432,64.7,65.8,63.6,63.6,-0.4,549,0,60.8,66.5,49.12280702,59.58571871,66.1541695,79.2910711
64,1999/4/13,606030,38514699,63.5,64.3,63.1,63.1,-0.5,340,1,61,66.5,38.18181818,52.4510852,61.58647474,79.85725381
65,1999/4/14,916475,58248210,63.6,64.1,63.3,63.6,0.5,434,1,61.3,66.5,44.23076923,49.71097988,57.62797645,73.4619696
66,1999/4/15,967951,62261872,64.6,65,63.7,64.1,0.5,508,0,62.2,66.5,44.18604651,47.86933542,54.37509611,67.38661748
67,1999/4/16,880089,55493394,63.1,63.9,62.6,63,-1.1,512,0,62.2,66.5,18.60465116,38.11444067,48.95487763,70.63575155
68,1999/4/19,1138689,69845840,61.6,62.8,59.8,60,-3,629,0,59.8,66.5,2.985074627,26.40465199,41.43813575,71.50510327
69,1999/4/20,2218712,133552607,60.3,61.2,59,60,0,1031,1,59,66,14.28571429,22.36500609,35.08042586,60.51126541
70,1999/4/21,1633233,99417440,60.1,61.7,60.1,60.7,0.7,782,1,59,65.8,25,23.24333739,31.1347297,46.91751433
71,1999/4/22,1013326,61583682,60.4,61.4,60,61.1,0.4,533,0,59,65.8,30.88235294,25.78967591,29.35304511,36.4797835
72,1999/4/23,2198071,131377171,59,60.6,59,60.2,-0.9,1175,1,59,65,20,23.85978394,27.52195805,34.84630627
73,1999/4/26,1499285,90719568,60.2,61,60.1,60.6,0.4,724,1,59,65,26.66666667,24.79541151,26.6131092,30.24850459
74,1999/4/27,615069,37231088,60.2,60.9,60.2,60.9,0.3,376,0,59,65,31.66666667,27.0858299,26.77068277,26.14038851
75,1999/4/28,2713366,164346678,59.5,61.6,59.5,60.2,-0.7,1266,0,59,63.9,24.48979592,26.22048524,26.58728359,27.3208803
76,1999/4/29,1202057,72498052,60.5,60.8,60.1,60.2,0,562,0,59,62.8,31.57894737,28.00663928,27.06040216,25.1679279
77,1999/4/30,1123608,67615256,60.4,60.9,59.8,59.8,-0.4,601,0,59,61.7,29.62962963,28.54763606,27.55614679,25.57316825
78,1999/5/3,880000,51827300,60,60.2,58,58.9,-0.9,547,0,58,61.7,24.32432432,27.13986548,27.41738636,27.9724281
79,1999/5/4,726713,42405354,59.5,59.5,58,58.3,-0.6,463,0,58,61.6,8.333333333,20.87102143,25.23526472,33.96375128
80,1999/5/5,1330001,74799353,57,57,55.7,56.7,-1.6,626,0,55.7,61.6,16.94915254,19.5637318,23.34475374,30.90679763
81,1999/5/6,1350209,74858295,55.8,56.5,54.5,54.6,-2.1,728,0,54.5,61.6,1.408450704,13.51197144,20.06715964,33.17753605
82,1999/5/7,1890729,99574280,53,54,51,53.3,-1.3,801,1,51,61.6,21.69811321,16.24068536,18.79166821,23.89363392
83,1999/5/10,1509200,80527939,53.8,53.9,52.9,53.5,0.2,649,0,51,61.6,23.58490566,18.68875879,18.75736507,18.89457764
84,1999/5/11,1799321,96576273,54,54.3,52.8,53,-0.5,856,0,51,60.9,20.2020202,19.19317926,18.90263647,18.32155089
85,1999/5/12,2246000,116660200,53.3,53.5,50.9,52.2,-0.8,1080,1,50.9,60.9,13,17.12878618,18.31135304,20.67648677
86,1999/5/13,1904302,100049806,52.2,53.1,52,52.9,0.7,904,1,50.9,60.2,21.50537634,18.58764957,18.40345188,18.03505651
87,1999/5/14,1265005,67981873,53,54.8,52.5,54.5,1.6,795,0,50.9,59.5,41.86046512,26.34525475,21.0507195,10.46164901
88,1999/5/17,825000,43811200,54,54,52.3,52.3,-2.2,517,0,50.9,57,22.95081967,25.21377639,22.43840513,16.88766262
89,1999/5/18,1333020,69586500,53.9,54,51.8,52,-0.3,677,0,50.9,56.5,19.64285714,23.35680331,22.74453786,21.52000696
90,1999/5/19,975000,50703400,52,52.5,51.5,52,0,456,0,50.9,54.8,28.20512821,24.97291161,23.48732911,20.51616411
91,1999/5/20,574100,29971600,52.5,52.8,51.7,52,0,370,0,50.9,54.8,28.20512821,26.05031714,24.34165845,20.92434107
92,1999/5/21,1318205,65445755,50.8,50.8,48.9,49.75,-2.25,653,1,48.9,54.8,14.40677966,22.16913798,23.61748496,26.51417892
93,1999/5/24,642044,32546040,50.6,51.4,50.1,51.2,1.45,456,0,48.9,54.8,38.98305085,27.7737756,25.00291517,19.46119432
94,1999/5/25,894410,44677181,51,51,48.9,49.5,-1.7,515,1,48.9,54.8,10.16949153,21.90568091,23.97050375,28.10014944
95,1999/5/26,831297,41804144,50,51.4,49.3,51.3,1.8,503,1,48.9,54.8,40.6779661,28.16310931,25.36803894,19.7778982
96,1999/5/27,903004,46809919,51,52.4,50.8,52.3,1,526,0,48.9,54,66.66666667,40.99762843,30.5779021,9.738449449
97,1999/5/28,1023090,53577407,52.8,53.3,51.4,51.5,-0.8,522,1,48.9,54,50.98039216,44.32521634,35.16034018,16.83058786
98,1999/5/31,812769,41952615,51.5,52.8,51,52.4,0.9,476,0,48.9,53.3,79.54545455,56.06529574,42.1286587,14.25538462
99,1999/6/1,287000,14903800,51.5,52.3,51.5,51.7,-0.7,220,0,48.9,53.3,63.63636364,58.58898504,47.61543415,25.66833236
100,1999/6/2,773000,40353500,51.7,52.8,51.5,51.7,0,463,1,48.9,53.3,63.63636364,60.27144457,51.83410429,34.95942372
101,1999/6/3,2245711,118932566,52.5,53.6,52,53.4,1.7,966,0,48.9,53.6,95.74468085,72.09585666,58.58802175,31.57235191
102,1999/6/4,2125098,112437492,53.4,53.6,52.2,52.5,-0.9,871,0,48.9,53.6,76.59574468,73.59581934,63.59062094,43.58022416
103,1999/6/7,3248000,159112650,48.85,49.85,48.85,49.5,-3,1159,0,48.85,53.6,13.68421053,53.62528307,60.26884165,73.55595882
104,1999/6/8,6325225,294561572,49.3,49.3,46.05,46.1,-3.4,2613,0,46.05,53.6,0.662251656,35.97093926,52.16954086,84.56674404
105,1999/6/9,5357350,239263304,46.1,46.2,43,43.8,-2.3,2173,0,43,53.6,7.547169811,26.49634945,43.61181039,77.84273226
106,1999/6/10,3127390,134957650,43.8,43.8,42.75,43.65,-0.15,1245,1,42.75,53.6,8.294930876,20.42920992,35.8842769,66.79441085
107,1999/6/11,2530451,111866045,44.1,44.65,43.85,44.45,0.8,1226,1,42.75,53.6,15.66820276,18.84220754,30.20358711,52.92634626
108,1999/6/14,3347440,148320450,45,45.2,43.8,44.65,0.2,1299,1,42.75,53.6,17.51152074,18.39864527,26.2686065,42.00852895
109,1999/6/15,1923036,86825971,44.9,45.5,44.8,45.1,0.45,993,1,42.75,53.6,21.65898618,19.48542557,24.00754619,33.05178742
110,1999/6/17,2787502,126450741,45.6,45.85,44.8,45.2,0.1,1367,0,42.75,53.6,22.58064516,20.51716543,22.84408594,27.49792694
111,1999/6/18,1986200,89291250,45.2,45.4,44.55,44.8,-0.4,906,1,42.75,49.85,28.87323944,23.30252344,22.99689844,22.38564844
112,1999/6/21,2957100,133197400,45.1,45.35,44.85,45.2,0.4,1198,0,42.75,49.3,37.40458015,28.00320901,24.66566863,17.99058787
113,1999/6/22,1972371,89130380,45.2,45.5,45,45.2,0,757,1,42.75,46.2,71.01449275,42.34030359,30.55721361,6.991033665
114,1999/6/23,2315761,105004574,45,45.7,44.8,45.4,0.2,913,1,42.75,45.85,85.48387097,56.72149272,39.27863998,4.392934514
115,1999/6/24,2416220,111041970,45.9,46.3,45.6,45.7,0.3,1153,0,43.8,46.3,76,63.14766181,47.23498059,15.40961815
116,1999/6/25,979368,44407743,45.2,45.65,45.15,45.2,-0.5,575,0,43.8,46.3,56,60.76510787,51.74502302,33.70485331
117,1999/6/28,1046100,47330565,45.3,45.8,44.8,45,-0.2,440,0,44.55,46.3,25.71428571,49.08150049,50.85718217,54.40854555
118,1999/6/29,1090201,49074354,45.5,45.65,44.65,44.7,-0.3,503,0,44.55,46.3,8.571428571,35.57814318,45.76416918,66.13622117
119,1999/6/30,894000,39126400,43.1,44.25,43.1,43.8,-0.9,401,1,43.1,46.3,21.875,31.01042879,40.84625571,60.51790957
120,1999/7/1,724369,31844631,43.8,44.2,43.8,43.9,0.1,374,1,43.1,46.3,25,29.00695253,36.89982132,52.6855589
121,1999/7/2,691370,30567880,44.3,44.6,44.05,44.05,0.15,348,1,43.1,46.3,29.6875,29.23380168,34.34448144,44.56584095
122,1999/7/5,1051549,46834305,44.25,44.8,44.25,44.55,0.5,480,1,43.1,46.3,45.3125,34.59336779,34.42744356,34.09559509
123,1999/7/6,2252439,102877001,44.55,46.25,44.55,46.25,1.7,1199,1,43.1,46.3,98.4375,55.87474519,41.5765441,12.98014192
124,1999/7/7,3704070,178122295,49,49,47,48.05,1.8,1816,0,43.1,49,83.89830508,65.21593182,49.45634001,17.93715638
125,1999/7/8,2255371,108413558,49,49,47.6,48,-0.05,1319,0,43.1,49,83.05084746,71.1609037,56.69119457,27.75177632
126,1999/7/9,2197300,105156889,48.2,48.2,47.6,47.9,-0.1,1042,1,43.1,49,81.3559322,74.55924654,62.64721189,38.82314261
127,1999/7/12,4592361,221641578,48.2,48.6,48,48.3,0.4,1712,0,43.1,49,88.13559322,79.08469543,68.12637307,46.20972836
128,1999/7/13,2937290,133715236,45.1,46.2,45.1,45.25,X0.00,1313,1,43.8,49,27.88461538,62.01800208,66.09024941,74.23474406
129,1999/7/14,2769413,127764843,46,46.6,45.5,46.6,1.35,1313,0,44.05,49,51.51515152,58.51705189,63.56585024,73.66344693
130,1999/7/15,2210297,103242562,46.8,47.4,46.1,46.25,-0.35,1202,0,44.25,49,42.10526316,53.04645565,60.05938537,74.08524483
131,1999/7/16,1533175,70037543,46.45,46.6,45.3,45.35,-0.9,755,0,44.55,49,17.97752809,41.35681313,53.82519463,78.76195762
132,1999/7/19,903090,40446109,45,45.15,44.65,44.75,-0.6,447,1,44.65,49,2.298850575,28.33749228,45.32929384,79.31289697
133,1999/7/20,1264010,57694060,44.95,46.15,44.95,46,1.25,601,0,44.65,49,31.03448276,29.2364891,39.9650256,61.42209858
134,1999/7/21,1057157,48640224,46.5,46.5,45.2,45.5,-0.5,486,1,44.65,48.6,21.51898734,26.66398852,35.53134657,53.26606268
135,1999/7/22,763904,34960661,45.5,46.1,45.4,45.7,0.2,372,1,44.65,48.6,26.58227848,26.63675184,32.56648166,44.4259413
136,1999/7/23,2475020,115728833,46.05,47.15,46.05,46.75,1.05,1393,1,44.65,47.4,76.36363636,43.21238001,36.11511444,21.92058331
137,1999/7/26,4273417,204969526,47.8,48.45,47,47.6,0.85,1931,0,44.65,48.45,77.63157895,54.68544632,42.30522507,17.54478256
138,1999/7/27,1579166,74950477,48.25,48.25,47.05,47.4,-0.2,836,1,44.65,48.45,72.36842105,60.57977123,48.39674046,24.03067891
139,1999/7/28,1694291,81251882,47.6,48.25,47.4,48.25,0.85,784,0,44.65,48.45,94.73684211,71.96546152,56.25298081,24.82801939
