X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10
740,101/12/20,2938278,51434205,17.45,17.65,17.4,17.4,-0.05000000000000071,997,-1,28.18495797,51.0526041,96.78789635,56.71426527660584,45.75235093723949,0.45649270400674286,-100.0,-100.0
741,101/12/21,3226822,56145873,17.6,17.6,17.25,17.25,-0.14999999999999858,908,-1,18.78997198,40.29839339,83.31523621,52.567859770471614,39.04149780569565,0.443062300884016,-100.0,-100.0
742,101/12/22,1237442,21456002,17.3,17.45,17.25,17.25,0.0,506,1,12.52664799,31.04114492,68.0701388,52.567859770471614,39.04149780569565,0.42394886542304366,-100.0,-100.0
743,101/12/24,4954886,86773173,17.25,17.8,17.2,17.75,0.5,1540,1,29.91972611,30.66733865,32.16256374,63.369436931915104,64.22735068079929,0.40928631601828086,0.0,-28.5714285714285
744,101/12/25,5086536,90801016,17.85,18.0,17.65,17.8,0.05000000000000071,1536,1,44.94648407,35.42705379,16.38819323,64.26460729490888,65.9171662857014,0.3980470053274752,0.0,-21.428571428571246
745,101/12/26,21911795,401781810,17.8,18.6,17.8,18.45,0.6499999999999986,4558,-1,59.72622748,43.52677835,11.12788011,73.51875674677106,80.37728590760794,0.3990056383105148,0.0,0.0
746,101/12/27,18710690,341750768,18.4,18.4,18.05,18.15,-0.3000000000000007,4175,1,62.4365326,49.83002977,24.6170241,64.97611360512585,65.08403527761095,0.4018637136032676,-25.00000000000007,-25.00000000000007
747,101/12/28,10356107,191127677,18.25,18.6,18.2,18.5,0.3500000000000014,3643,1,72.57673602,57.41226519,27.08332352,69.52110261099845,72.42842988173163,0.4104306143999174,0.0,0.0
748,102/01/02,15357539,291245926,18.7,19.2,18.55,19.0,0.5,4612,-1,78.38449068,64.40300702,36.44003969,74.68365184232077,79.73559621614307,0.42916835891360133,0.0,0.0
749,102/01/03,8540934,163222368,19.25,19.35,18.8,18.95,-0.05000000000000071,2428,-1,79.38811007,69.39804137,49.41790397,73.31760401918318,77.27792275134013,0.4515228453975557,-5.882352941176544,-2.8571428571428976
750,102/01/04,7221220,135675530,18.95,18.95,18.55,18.95,0.0,2387,-1,80.05718966,72.9510908,58.73889308,73.31760401918318,77.27792275134013,0.47394326466167164,-5.882352941176544,-2.8571428571428976
751,102/01/07,4363714,81339302,18.9,18.9,18.45,18.75,-0.1999999999999993,1648,1,77.40246752,74.43488304,68.49971407,67.35475289089642,65.62662073312863,0.4909585981293391,-50.0,-14.285714285714285
752,102/01/08,4163628,77816707,18.7,18.85,18.4,18.85,0.10000000000000142,1473,1,75.13105678,74.66694095,73.7387093,68.75248480078243,68.4781749001716,0.5041706042764156,-59.99999999999943,-11.999999999999886
753,102/01/09,4575613,87022556,18.85,19.1,18.8,19.0,0.14999999999999858,1300,-1,75.8938228,75.07590157,73.44005911,70.81433654383802,72.57361410303787,0.5155502189503947,0.0,0.0
754,102/01/10,15205915,277002837,19.05,19.05,17.7,17.7,-1.3000000000000007,4793,1,50.59588187,66.915895,99.55592127,43.46965314046569,30.86651167060368,0.5032690039684103,-100.0,-100.0
755,102/01/11,8963374,159049906,17.55,17.95,17.55,17.95,0.25,2602,-1,41.13799532,58.32326177,92.69379468,47.73861218894755,38.96144726268094,0.4796429930553212,-80.76923076923079,-80.76923076923079
756,102/01/14,11992214,208328799,17.55,17.65,17.1,17.15,-0.8000000000000007,3054,1,28.16607095,48.27086483,88.48045259,37.713671427380255,26.876805140813293,0.43628806220352306,-100.0,-100.0
757,102/01/15,9549690,166019347,17.15,17.6,17.15,17.5,0.3500000000000014,3146,1,24.70330656,40.41501208,71.83842311,43.43061882203986,37.116656271419146,0.3874298205009961,-81.08108108108102,-81.08108108108102
758,102/01/16,7376787,130540756,17.8,17.85,17.55,17.65,0.14999999999999858,2166,-1,25.63553771,35.48852062,55.19448644,45.776856759731885,41.34116651589489,0.3391935714017898,-37.50000000000006,-72.972972972973
759,102/01/17,5373502,94748933,17.7,17.8,17.55,17.55,-0.09999999999999787,1364,1,24.59035847,31.8557999,46.38668277,44.42563782388249,39.23264371220383,0.29150726674427724,-49.99999999999978,-78.37837837837827
760,102/01/18,7516477,135109188,17.8,18.2,17.7,18.15,0.5999999999999979,2410,1,33.89357231,32.53505737,29.81802749,53.487079488445175,55.55412392540525,0.2555736970425355,0.0,-45.94594594594599
761,102/01/21,6677357,121763116,18.2,18.45,18.0,18.25,0.10000000000000142,1786,1,41.76238154,35.6108321,23.30773321,54.83711720665401,57.81994859338776,0.22990314846657026,0.0,-40.54054054054051
762,102/01/22,3178375,58294379,18.3,18.45,18.2,18.35,0.10000000000000142,1240,-1,49.20910906,40.14359109,22.01255513,56.234442258814596,60.25157051204369,0.21308240109486534,0.0,-35.13513513513503
763,102/01/23,4819280,87616503,18.45,18.45,18.0,18.2,-0.15000000000000213,1749,-1,59.96656654,46.75124957,20.32061564,53.50308470576836,54.58719273551541,0.19981148875364704,-18.75000000000025,-12.500000000000147
764,102/01/24,6689998,121252799,18.2,18.3,17.8,17.9,-0.3000000000000007,1541,1,59.73079744,51.07776553,33.77170169,48.33789175677129,44.538101656132305,0.18421949180497155,-100.0,-37.50000000000015
