date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
106/02/06,17.87,3.67,2.56,2790376,302846984,106.50,110.00,106.00,109.00,+2.50,2030,1
106/02/07,17.87,3.67,2.56,2668775,289972475,109.50,110.00,107.50,109.00,0.00,2126,-1
106/02/08,17.87,3.67,2.56,3004743,328836987,110.00,111.00,108.50,109.00,0.00,2114,-1
106/02/09,19.59,3.35,2.81,15498854,1830200626,113.00,119.50,112.50,119.50,+10.50,6409,1
106/02/10,19.59,3.35,2.81,8705128,1046219268,121.00,122.00,117.00,119.50,0.00,4375,-1
106/02/13,19.75,3.32,2.83,3498427,420641429,120.00,121.50,119.00,120.50,+1.00,2164,1
106/02/14,19.10,3.43,2.73,2539304,300407898,122.00,122.00,116.50,116.50,-4.00,1788,-1
106/02/15,19.02,3.45,2.72,2102441,244221656,117.50,118.50,115.00,116.00,-0.50,1558,-1
106/02/16,18.69,3.51,2.68,1780710,204639440,117.00,117.50,114.00,114.00,-2.00,1361,-1
106/02/17,19.43,3.38,2.78,3242568,377833024,114.50,118.50,114.00,118.50,+4.50,2119,1
106/02/18,19.18,3.42,2.75,763810,89852270,119.50,119.50,117.00,117.00,-1.50,569,-1
106/02/20,18.69,3.51,2.68,1307644,150421916,117.00,117.00,114.00,114.00,-3.00,1015,-1
106/02/21,18.85,3.48,2.70,1270428,144772720,114.50,115.50,113.00,115.00,+1.00,908,1
106/02/22,18.61,3.52,2.66,1149379,131019706,115.50,115.50,113.50,113.50,-1.50,924,-1
106/02/23,18.61,3.52,2.66,1328199,151102487,114.00,115.00,113.00,113.50,0.00,1001,-1
106/02/24,18.77,3.49,2.69,1753953,200566142,114.50,115.50,113.00,114.50,+1.00,1019,1
106/03/01,18.03,3.64,2.58,2998126,332181393,112.50,112.50,109.50,110.00,-4.50,2246,-1
106/03/02,17.79,3.69,2.55,2794089,304313895,110.50,111.50,108.00,108.50,-1.50,1670,-1
106/03/03,17.79,3.69,2.55,1793813,194060702,107.50,109.50,107.00,108.50,0.00,1311,-1
106/03/06,17.87,3.67,2.56,2273463,250197504,110.50,111.50,109.00,109.00,+0.50,1473,1
106/03/07,17.95,3.65,2.57,1104314,121422726,109.50,111.00,109.50,109.50,+0.50,974,1
106/03/08,18.20,3.60,2.61,1194689,132129979,110.00,111.50,109.50,111.00,+1.50,953,1
106/03/09,17.70,3.70,2.54,2057938,225155804,111.00,112.00,108.00,108.00,-3.00,1508,-1
106/03/10,17.95,3.65,2.57,796063,86712370,108.00,110.00,107.00,109.50,+1.50,708,1
106/03/13,17.87,3.67,2.56,1200341,131859292,108.50,111.00,108.50,109.00,-0.50,1000,-1
106/03/14,18.20,3.60,2.61,1624980,180443800,110.00,112.50,109.50,111.00,+2.00,1267,1
106/03/15,18.20,3.60,2.61,878183,97690655,110.50,112.00,110.00,111.00,0.00,823,-1
106/03/16,18.36,3.57,2.63,2269207,253117047,112.00,112.50,111.00,112.00,+1.00,1129,1
106/03/17,18.11,3.62,2.59,1618838,179766240,112.50,112.50,110.00,110.50,-1.50,922,-1
106/03/20,17.95,3.65,2.57,1099300,120295292,110.00,110.50,108.50,109.50,-1.00,933,-1
106/03/21,17.95,3.65,2.57,1709388,186760792,110.00,110.00,108.50,109.50,0.00,1400,-1
106/03/22,17.79,3.69,2.55,1915776,206682640,107.50,109.00,107.00,108.50,-1.00,1359,-1
106/03/23,17.95,3.65,2.57,1825975,198519275,109.00,109.50,108.00,109.50,+1.00,1405,1
106/03/24,17.79,3.69,2.55,1515269,165342146,109.00,110.00,108.50,108.50,-1.00,1059,-1
106/03/27,17.70,3.70,2.54,1639686,177018088,108.50,109.00,107.00,108.00,-0.50,1214,-1
106/03/28,17.79,3.69,2.55,1735952,187446816,109.00,109.50,106.50,108.50,+0.50,1248,1
106/03/29,18.03,3.64,2.58,1712586,187055874,109.00,110.00,108.00,110.00,+1.50,1124,1
106/03/30,17.86,3.72,2.38,1763794,191649601,110.50,110.50,107.50,107.50,-2.50,1121,-1
106/03/31,18.02,3.69,2.40,1226221,132767158,108.50,109.00,107.50,108.50,+1.00,736,1
106/04/05,3.54,18.77,2.50,3361929,375159477,109.50,113.00,109.00,113.00,+4.50,2442,1
106/04/06,3.52,18.85,2.51,1796420,202638960,112.50,113.50,112.00,113.50,+0.50,1195,1
106/04/07,3.60,18.44,2.46,1449545,161753495,114.00,114.00,110.00,111.00,-2.50,1086,-1
106/04/10,3.65,18.19,2.42,1143014,125988540,112.00,112.00,109.00,109.50,-1.50,980,-1
106/04/11,3.69,18.02,2.40,1470995,159702455,108.00,109.50,107.00,108.50,-1.00,1068,-1
106/04/12,3.72,17.86,2.38,1181940,127411080,108.50,109.00,107.00,107.50,-1.00,800,-1
106/04/13,3.74,17.77,2.37,775175,83289725,107.50,108.00,107.00,107.00,-0.50,582,-1
106/04/14,3.79,17.52,2.34,815077,86473111,106.50,107.00,105.50,105.50,-1.50,607,-1
106/04/17,3.88,17.11,2.28,1814615,186796345,106.00,106.00,101.50,103.00,-2.50,1409,-1
106/04/18,3.83,17.36,2.31,1085553,112663781,104.50,105.00,103.00,104.50,+1.50,886,1
106/04/19,3.90,17.03,2.27,1253040,128976586,103.00,104.00,102.00,102.50,-2.00,1020,-1
106/04/20,3.94,16.86,2.25,2056259,209117539,102.00,103.00,100.50,101.50,-1.00,1550,-1
106/04/21,3.86,17.19,2.29,1118210,114662725,102.00,103.50,101.50,103.50,+2.00,844,1
106/04/24,3.90,17.03,2.27,812749,83477767,104.00,104.50,102.00,102.50,-1.00,614,-1
106/04/25,3.83,17.36,2.31,1565668,161577800,103.50,104.50,102.00,104.50,+2.00,1125,1
106/04/26,4.98,16.69,2.22,4304550,432906950,102.50,102.50,99.50,100.50,-4.00,2851,-1
106/04/27,4.83,17.19,2.29,2813761,286454383,100.00,103.50,100.00,103.50,+3.00,2004,1
106/04/28,4.90,16.94,2.26,2004488,204833776,102.50,103.00,102.00,102.00,-1.50,1432,-1
106/05/02,4.88,17.03,2.27,1665326,172075752,103.00,104.00,102.50,102.50,+0.50,1364,1
106/05/03,4.83,17.19,2.29,860741,88963323,103.00,104.00,102.50,103.50,+1.00,697,1
106/05/04,4.88,17.03,2.27,1016515,104800030,103.50,103.50,102.50,102.50,-1.00,786,-1
106/05/05,4.93,16.86,2.25,1584501,161839848,102.50,103.00,101.50,101.50,-1.00,998,-1
106/05/08,4.90,16.94,2.26,1777331,181136762,102.00,102.50,101.50,102.00,+0.50,760,1
106/05/09,5.00,16.61,2.21,2847084,286791600,102.00,102.00,99.80,100.00,-2.00,1537,-1
