X,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2115,16149338,4377632250,265.0,277.5,265.0,275.0,10555,38.45374624,30.01639391,13.14168926,49.16040986,57.37494089,-10.45851459,0.0,-30.0,1
2116,9306991,2538540211,276.0,277.0,269.0,269.0,5612,47.85805305,35.96361363,12.17473478,45.32819469,50.28243871,-10.26902944,-28.57142857,-42.30769231,0
2117,6376440,1737968101,272.0,274.0,271.0,274.0,2818,60.99627779,44.30783501,10.93094946,48.97434383,55.75220601,-9.902857992,-4.761904762,-4.761904762,1
2118,2324777,633361621,273.5,274.0,270.0,273.0,1591,68.54297307,52.38621437,20.07269695,48.26617537,54.31799193,-9.438522107,-9.523809524,-9.523809524,1
2119,5438603,1500245558,273.0,278.0,271.5,275.5,3378,76.05245824,60.27496232,28.71997049,50.24469359,57.590889,-8.875601567,0.0,0.0,1
2120,4605097,1276059906,277.0,278.0,275.0,277.5,3015,83.43973406,67.9965529,37.11019058,51.86468228,60.32005208,-8.228261177,0.0,0.0,0
2121,3355805,922400769,276.0,276.5,272.0,275.0,2282,85.38839414,73.79383332,50.60471167,49.64225883,55.00995047,-7.583074883,-55.55555556,-10.63829787,0
2122,2071377,569773832,272.5,276.5,272.5,274.5,1461,86.09226276,77.8933098,61.49540387,49.17864717,53.87176363,-6.963754311,-66.66666667,-12.76595745,1
2123,5137482,1352335230,265.0,268.5,258.0,263.5,3965,66.56150851,74.1160427,89.22511109,40.11292323,34.84069878,-6.552738451,-100.0,-59.57446809,1
2124,2505500,664664243,263.5,267.0,263.5,265.0,1979,56.04100567,68.09103036,92.19107973,41.72432734,38.40153195,-6.25496344,-89.28571429,-89.28571429,1
2125,2362251,617604011,263.5,264.0,260.0,260.0,2068,40.69400378,58.95868816,95.48805693,37.97745701,31.51302249,-6.109291211,-100.0,-100.0,1
2126,12955116,3228868120,250.0,253.0,246.0,247.5,8579,28.69183585,48.86973739,89.22554048,30.4562375,20.48770216,-6.252096325,-100.0,-100.0,1
2127,7904316,1959972699,250.5,252.5,246.0,247.0,5696,20.16955724,39.30301067,77.56991755,30.19313603,20.14932358,-6.561954786,-100.0,-100.0,1
2128,5129423,1264730904,249.5,249.5,244.0,247.0,3526,16.38754796,31.6645231,62.21847339,30.19313603,20.14932358,-6.945319733,-100.0,-100.0,1
2129,3896372,958080284,246.0,247.0,245.0,245.5,2837,12.46349351,25.26417991,50.86555269,29.27511574,18.80741633,-7.362762333,-100.0,-100.0,0
2130,6912322,1708406356,247.0,249.5,244.0,247.5,3807,11.89873926,20.80903303,38.62962055,32.29437381,26.62593683,-7.730991059,0.0,-93.22033898,1
2131,5206562,1308206310,248.0,253.0,248.0,253.0,3115,20.1773908,20.59848562,21.44067525,40.03776471,44.31980865,-7.943700542,0.0,-74.13793103,0
2132,2873118,716841736,253.0,253.0,247.0,250.0,2104,22.14724604,21.11473909,19.04972519,37.46675478,38.27797128,-8.077540943,-40.0,-76.92307692,0
2133,3303194,816104824,248.5,249.0,245.5,247.5,2334,20.59816403,20.9425474,21.63131416,35.38393589,33.68580054,-8.176407285,-73.33333333,-89.74358974,0
2134,10744025,2710160475,247.5,256.0,247.5,252.0,5662,35.95433157,25.94647546,5.930763235,41.79102245,47.33344694,-8.157739271,-18.18181818,-55.17241379,1
2135,5486321,1400257676,254.5,256.5,253.0,256.0,3437,55.96955438,35.95416844,-4.076603461,46.93574896,56.81380777,-7.983970805,0.0,0.0,0
2136,4274480,1097281860,257.0,258.5,255.0,256.0,2868,64.89924315,45.60252667,7.009093718,46.93574896,56.81380777,-7.703900527,0.0,0.0,0
2137,6027520,1514129310,255.0,255.0,248.5,251.5,2967,60.50754141,50.57086492,30.69751194,41.89523476,43.98675433,-7.426120202,-52.94117647,-42.85714286,1
2138,3759530,941178520,252.5,253.0,249.0,249.5,1911,52.9820391,51.37458965,48.15969074,39.80534833,39.25942684,-7.179320082,-100.0,-61.9047619,0
2139,4155461,1052235516,250.0,255.0,250.0,253.5,2455,55.83417991,52.86111974,46.91499938,45.75807365,51.71394062,-6.884694638,-38.46153846,-29.41176471,0
2140,5658310,1438867385,253.5,256.0,252.0,254.0,2232,59.0176584,54.91329929,46.70458107,46.48573647,53.15474416,-6.55186914,-30.76923077,-23.52941176,1
2141,4832939,1231300865,252.5,257.0,250.0,255.0,2826,63.70407996,57.84355952,46.12251862,48.01984243,56.28530196,-6.181660399,0.0,-11.76470588,1
2142,6905361,1723106209,253.0,254.5,245.5,248.0,4315,48.87964305,54.85558736,66.80747598,39.3367405,36.04907556,-5.905019178,-100.0,-94.11764706,1
2143,8970148,2193348260,249.0,251.0,238.0,242.5,4666,39.90350187,49.87155886,69.80767285,34.0199963,26.92268901,-5.77581681,-100.0,-100.0,1
2144,5581726,1359517395,246.0,247.0,241.0,244.0,3612,36.35843214,45.36718329,63.38468559,36.59109588,32.51417337,-5.708703381,-88.0,-88.88888889,1
2145,3333026,812170844,246.5,246.5,242.0,244.0,2629,34.76527055,41.83321238,55.96909603,36.59109588,32.51417337,-5.671013003,-88.0,-88.88888889,1
2146,3492346,851245237,245.5,245.5,242.0,242.0,2298,30.19439089,37.95360522,53.47203386,34.42674987,28.34941436,-5.672723662,-100.0,-100.0,1
2147,3522752,862165992,244.5,246.5,243.0,245.5,2656,33.28748867,36.39823303,42.61972177,41.12987002,43.53732144,-5.630270712,0.0,-73.07692308,1
